Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),model_src
Random Forest Regressor,0.5706,2.2927,1.5138,0.7538,0.3773,3.6477,0.4325,car
Light Gradient Boosting Machine,0.5758,2.2989,1.5153,0.7531,0.3678,5.8021,0.27,car
Extra Trees Regressor,0.5776,2.377,1.5416,0.7446,0.3858,9.2599,0.33,car
Gradient Boosting Regressor,0.5785,2.1929,1.4799,0.7644,0.3637,5.396,0.495,car
Huber Regressor,0.5997,3.1587,1.7765,0.6604,0.4192,1.6914,0.1975,car
Decision Tree Regressor,0.6954,4.1549,2.0382,0.554,0.4851,1.2293,0.0525,car
Orthogonal Matching Pursuit,0.724,2.9703,1.7229,0.6812,0.4321,8.3047,0.03,car
K Neighbors Regressor,0.7477,3.6338,1.9053,0.6103,0.4877,8.8571,0.1025,car
Bayesian Ridge,0.8117,2.8615,1.6912,0.6928,0.4587,13.4335,0.0325,car
Ridge Regression,0.8179,2.8645,1.6922,0.6925,0.4618,13.506,0.5375,car
Linear Regression,0.8181,2.8647,1.6922,0.6925,0.4619,13.5023,0.71,car
Elastic Net,0.8224,3.0844,1.7559,0.6692,0.4426,10.0639,0.56,car
Lasso Least Angle Regression,0.8395,3.123,1.7668,0.6651,0.4484,10.3412,0.0275,car
Lasso Regression,0.8396,3.123,1.7668,0.6651,0.4484,10.3412,0.555,car
AdaBoost Regressor,1.4562,3.9271,1.9759,0.5807,0.7772,43.1704,0.22,car
Dummy Regressor,1.7687,9.3321,3.0541,-0.0001,0.8342,33.6579,0.0275,car
Passive Aggressive Regressor,2.8794,18.3228,4.1275,-1.0001,1.1438,55.5073,0.0325,car
Least Angle Regression,48301.2691,61087469571.1296,123580.9253,-6464640978.3452,3.3045,1067343.5988,0.0275,car
Light Gradient Boosting Machine,0.4516,0.4844,0.6956,0.7382,0.2041,0.2557,0.29,aob
Random Forest Regressor,0.4558,0.4949,0.7033,0.7324,0.207,0.2617,0.905,aob
Extra Trees Regressor,0.4559,0.4959,0.704,0.732,0.2076,0.2617,0.6875,aob
Gradient Boosting Regressor,0.4636,0.5097,0.7137,0.7244,0.2103,0.264,0.62,aob
Huber Regressor,0.4931,0.5926,0.7697,0.6795,0.2276,0.2793,0.185,aob
Orthogonal Matching Pursuit,0.5098,0.5954,0.7716,0.6779,0.2321,0.2974,0.025,aob
Bayesian Ridge,0.5099,0.5763,0.7591,0.6883,0.2322,0.2995,0.03,aob
Ridge Regression,0.5101,0.5767,0.7594,0.6881,0.2322,0.2999,0.0275,aob
Linear Regression,0.5101,0.5767,0.7594,0.6881,0.2322,0.3,0.03,aob
Least Angle Regression,0.5357,0.6112,0.7816,0.6693,0.2438,0.3196,0.0275,aob
K Neighbors Regressor,0.6022,0.7784,0.8819,0.5793,0.2721,0.3455,0.1,aob
Decision Tree Regressor,0.6039,0.9236,0.9604,0.5007,0.2788,0.3336,0.0725,aob
Elastic Net,0.6698,0.8565,0.9255,0.5369,0.2849,0.4033,0.03,aob
Lasso Regression,0.795,1.1916,1.0916,0.3558,0.3308,0.4786,0.0275,aob
Lasso Least Angle Regression,0.795,1.1916,1.0916,0.3558,0.3308,0.4786,0.0275,aob
AdaBoost Regressor,0.9044,1.1293,1.0611,0.3889,0.3676,0.6752,0.3125,aob
Passive Aggressive Regressor,1.0317,2.6844,1.462,-0.4211,0.3657,0.7058,0.03,aob
Dummy Regressor,1.0327,1.851,1.3604,-0.0003,0.4068,0.6281,0.0275,aob
